split,method,sample_count,positive_count,negative_count,positive_prevalence,roc_auc,pr_auc,average_precision,threshold,true_positive,false_positive,true_negative,false_negative,precision,recall,specificity,f1,accuracy,balanced_accuracy,matthews_correlation_coefficient
calibration,legacy_exact,75052,3985,71067,0.053096519746309224,0.7901262612927569,0.4191422857013716,0.4191805894848989,-2.7038474082946777,1382,1180,69887,2603,0.5394223263075723,0.34680050188205774,0.9833959503004207,0.42217809683824653,0.9495949475030645,0.6650982260912393,0.40774809835069126
calibration,corrected_l2,75052,3985,71067,0.053096519746309224,0.7853238145444561,0.5439486425340565,0.543971167269793,-21.821827426452618,1715,632,70435,2270,0.7307200681721346,0.43036386449184444,0.9911069835507338,0.5416929879974731,0.9613334754570164,0.7107354240212891,0.5429714706760633
test,legacy_exact,12984,1269,11715,0.09773567467652496,0.730510243446014,0.4588570530683186,0.45897141665253427,-2.7038474082946777,411,228,11487,858,0.6431924882629108,0.32387706855791965,0.9805377720870678,0.4308176100628931,0.916358595194085,0.6522074203224937,0.417899452700309
test,corrected_l2,12984,1269,11715,0.09773567467652496,0.824498102592199,0.5938392561559989,0.5939180403879499,-21.821827426452618,427,42,11673,842,0.9104477611940298,0.33648542159180456,0.9964148527528809,0.49136939010356734,0.9319162045594578,0.6664501371723427,0.5298028159051474
stress,legacy_exact,8410,1296,7114,0.15410225921521997,0.592618677915569,0.35671051604374016,0.35688720623859116,-2.7038474082946777,260,181,6933,1036,0.5895691609977324,0.2006172839506173,0.9745572111329772,0.2993667242371906,0.8552913198573128,0.5875872475417973,0.28373250831373864
stress,corrected_l2,8410,1296,7114,0.15410225921521997,0.6081827217762229,0.3930666290459357,0.39321379481478214,-21.821827426452618,290,134,6980,1006,0.6839622641509434,0.22376543209876543,0.9811639021647456,0.3372093023255814,0.8644470868014269,0.6024646671317555,0.33815512911975515
